Month,Hour,System Production (Wh)
04,00,0
04,00,0
04,00,0
04,00,0
04,01,0
04,01,0
04,01,0
04,01,0
04,02,0
04,02,0
04,02,0
04,02,0
04,03,0
04,03,0
04,03,0
04,03,0
04,04,0
04,04,0
04,04,0
04,04,0
04,05,0
04,05,0
04,05,0
04,05,0
04,06,0
04,06,0
04,06,0
04,06,0
04,07,0
04,07,0
04,07,0
04,07,0
04,08,0
04,08,0
04,08,0
04,08,0
04,09,0
04,09,0
04,09,0
04,09,0
04,10,0
04,10,0
04,10,0
04,10,0
04,11,0
04,11,0
04,11,0
04,11,0
04,12,0
04,12,0
04,12,0
04,12,0
04,13,0
04,13,0
04,13,0
04,13,0
04,14,0
04,14,0
04,14,4376
04,14,3485
04,15,5207
04,15,4072
04,15,2754
04,15,5120
04,16,3851
04,16,3461
04,16,3034
04,16,3847
04,17,2488
04,17,1649
04,17,1916
04,17,2874
04,18,2127
04,18,1913
04,18,1790
04,18,1492
04,19,1146
04,19,1019
04,19,753
04,19,157
04,20,0
04,20,0
04,20,0
04,20,0
04,21,0
04,21,0
04,21,0
04,21,0
04,22,0
04,22,0
04,22,0
04,22,0
04,23,0
04,23,0
04,23,0
04,23,0
04,00,0
04,00,0
04,00,0
04,00,0
04,01,0
04,01,0
04,01,0
04,01,0
04,02,0
04,02,0
04,02,0
04,02,0
04,03,0
04,03,0
04,03,0
04,03,0
04,04,0
04,04,0
04,04,0
04,04,0
04,05,0
04,05,0
04,05,0
04,05,0
04,06,0
04,06,0
04,06,0
04,06,0
04,07,0
04,07,0
04,07,0
04,07,0
04,08,0
04,08,67
04,08,363
04,08,518
04,09,51
04,09,17
04,09,131
04,09,356
04,10,495
04,10,515
04,10,1679
04,10,1486
04,11,1514
04,11,2335
04,11,2183
04,11,3037
04,12,3159
04,12,3922
04,12,4262
04,12,4650
04,13,5375
04,13,1438
04,13,5069
04,13,5381
04,14,5030
04,14,5593
04,14,6009
04,14,5980
04,15,6007
04,15,3972
04,15,4812
04,15,4284
04,16,4724
04,16,6003
04,16,5825
04,16,4381
04,17,1724
04,17,1641
04,17,1507
04,17,1818
04,18,5025
04,18,768
04,18,715
04,18,317
04,19,211
04,19,297
04,19,200
04,19,59
04,20,0
04,20,0
04,20,0
04,20,0
04,21,0
04,21,0
04,21,0
04,21,0
04,22,0
04,22,0
04,22,0
04,22,0
04,23,0
04,23,0
04,23,0
04,23,0
04,00,0
04,00,0
04,00,0
04,00,0
04,01,0
04,01,0
04,01,0
04,01,0
04,02,0
04,02,0
04,02,0
04,02,0
04,03,0
04,03,0
04,03,0
04,03,0
04,04,0
04,04,0
04,04,0
04,04,0
04,05,0
04,05,0
04,05,0
04,05,0
04,06,0
04,06,0
04,06,0
04,06,0
04,07,0
04,07,0
04,07,63
04,07,39
04,08,44
04,08,48
04,08,71
04,08,204
04,09,233
04,09,262
04,09,376
04,09,575
04,10,1017
04,10,1281
04,10,1722
04,10,1848
04,11,2123
04,11,2539
04,11,2903
04,11,3205
04,12,3692
04,12,4029
04,12,4355
04,12,4578
04,13,4835
04,13,5134
04,13,5338
04,13,5628
04,14,5565
04,14,5314
04,14,5766
04,14,5542
04,15,5938
04,15,5498
04,15,5887
04,15,5808
04,16,5380
04,16,6002
04,16,5996
04,16,5632
04,17,1775
04,17,2871
04,17,2097
04,17,1072
04,18,1242
04,18,949
04,18,969
04,18,828
04,19,753
04,19,443
04,19,242
04,19,79
04,20,0
04,20,0
04,20,0
