Date,Hour,System Production (Wh)
04/11,00:00,0
04/11,00:15,0
04/11,00:30,0
04/11,00:45,0
04/11,01:00,0
04/11,01:15,0
04/11,01:30,0
04/11,01:45,0
04/11,02:00,0
04/11,02:15,0
04/11,02:30,0
04/11,02:45,0
04/11,03:00,0
04/11,03:15,0
04/11,03:30,0
04/11,03:45,0
04/11,04:00,0
04/11,04:15,0
04/11,04:30,0
04/11,04:45,0
04/11,05:00,0
04/11,05:15,0
04/11,05:30,0
04/11,05:45,0
04/11,06:00,0
04/11,06:15,0
04/11,06:30,0
04/11,06:45,0
04/11,07:00,0
04/11,07:15,0
04/11,07:30,0
04/11,07:45,0
04/11,08:00,0
04/11,08:15,0
04/11,08:30,0
04/11,08:45,0
04/11,09:00,0
04/11,09:15,0
04/11,09:30,0
04/11,09:45,0
04/11,10:00,0
04/11,10:15,0
04/11,10:30,0
04/11,10:45,0
04/11,11:00,0
04/11,11:15,0
04/11,11:30,0
04/11,11:45,0
04/11,12:00,0
04/11,12:15,0
04/11,12:30,0
04/11,12:45,0
04/11,13:00,0
04/11,13:15,0
04/11,13:30,0
04/11,13:45,0
04/11,14:00,0
04/11,14:15,0
04/11,14:30,4376
04/11,14:45,3485
04/11,15:00,5207
04/11,15:15,4072
04/11,15:30,2754
04/11,15:45,5120
04/11,16:00,3851
04/11,16:15,3461
04/11,16:30,3034
04/11,16:45,3847
04/11,17:00,2488
04/11,17:15,1649
04/11,17:30,1916
04/11,17:45,2874
04/11,18:00,2127
04/11,18:15,1913
04/11,18:30,1790
04/11,18:45,1492
04/11,19:00,1146
04/11,19:15,1019
04/11,19:30,753
04/11,19:45,157
04/11,20:00,0
04/11,20:15,0
04/11,20:30,0
04/11,20:45,0
04/11,21:00,0
04/11,21:15,0
04/11,21:30,0
04/11,21:45,0
04/11,22:00,0
04/11,22:15,0
04/11,22:30,0
04/11,22:45,0
04/11,23:00,0
04/11,23:15,0
04/11,23:30,0
04/11,23:45,0
04/12,00:00,0
04/12,00:15,0
04/12,00:30,0
04/12,00:45,0
04/12,01:00,0
